date,site,dailyMean
2013-01-01,0677,
2013-01-02,0677,
2013-01-03,0677,
2013-01-04,0677,2.06
2013-01-05,0677,1.90666666667
2013-01-06,0677,1.75333333333
2013-01-07,0677,1.6
2013-01-08,0677,1.44666666667
2013-01-09,0677,1.29333333333
2013-01-10,0677,1.14
2013-01-11,0677,1.13222222222
2013-01-12,0677,1.12444444444
2013-01-13,0677,1.11666666667
2013-01-14,0677,1.10888888889
2013-01-15,0677,1.10111111111
2013-01-16,0677,1.09333333333
2013-01-17,0677,1.08555555556
2013-01-18,0677,1.07777777778
2013-01-19,0677,1.07
2013-01-20,0677,1.06222222222
2013-01-21,0677,1.05444444444
2013-01-22,0677,1.04666666667
2013-01-23,0677,1.03888888889
2013-01-24,0677,1.03111111111
2013-01-25,0677,1.02333333333
2013-01-26,0677,1.01555555556
2013-01-27,0677,1.00777777778
2013-01-28,0677,1.0
2013-01-29,0677,0.965
2013-01-30,0677,0.93
2013-01-31,0677,0.895
2013-02-01,0677,0.86
2013-02-02,0677,0.825
2013-02-03,0677,0.79
2013-02-04,0677,0.755
2013-02-05,0677,0.72
2013-02-06,0677,0.685
2013-02-07,0677,0.65
2013-02-08,0677,0.615
2013-02-09,0677,0.58
2013-02-10,0677,0.583333333333
2013-02-11,0677,0.586666666667
2013-02-12,0677,0.59
2013-02-13,0677,0.593333333333
2013-02-14,0677,0.596666666667
2013-02-15,0677,0.6
2013-02-16,0677,0.603333333333
2013-02-17,0677,0.606666666667
2013-02-18,0677,0.61
2013-02-19,0677,0.613333333333
2013-02-20,0677,0.616666666667
2013-02-21,0677,0.62
2013-02-22,0677,0.603333333333
2013-02-23,0677,0.586666666667
2013-02-24,0677,0.57
2013-02-25,0677,0.553333333333
2013-02-26,0677,0.536666666667
2013-02-27,0677,0.52
2013-02-28,0677,0.63
2013-03-01,0677,0.74
2013-03-02,0677,0.85
2013-03-03,0677,0.96
2013-03-04,0677,1.07
2013-03-05,0677,1.18
2013-03-06,0677,1.10333333333
2013-03-07,0677,1.02666666667
2013-03-08,0677,0.95
2013-03-09,0677,0.873333333333
2013-03-10,0677,0.796666666667
2013-03-11,0677,0.72
2013-03-12,0677,0.926666666667
2013-03-13,0677,1.13333333333
2013-03-14,0677,1.34
2013-03-15,0677,1.54666666667
2013-03-16,0677,1.75333333333
2013-03-17,0677,1.96
2013-03-18,0677,1.63333333333
2013-03-19,0677,1.30666666667
2013-03-20,0677,0.98
2013-03-21,0677,0.653333333333
2013-03-22,0677,0.326666666667
2013-03-23,0677,0.0
2013-03-24,0677,0.356666666667
2013-03-25,0677,0.713333333333
2013-03-26,0677,1.07
2013-03-27,0677,1.42666666667
2013-03-28,0677,1.78333333333
2013-03-29,0677,2.14
2013-03-30,0677,2.43
2013-03-31,0677,2.72
2013-04-01,0677,3.01
2013-04-02,0677,3.3
2013-04-03,0677,3.59
2013-04-04,0677,3.88
2013-04-05,0677,3.38
2013-04-06,0677,2.88
2013-04-07,0677,2.38
2013-04-08,0677,1.88
2013-04-09,0677,1.38
2013-04-10,0677,0.88
2013-04-11,0677,1.20666666667
2013-04-12,0677,1.53333333333
2013-04-13,0677,1.86
2013-04-14,0677,2.18666666667
2013-04-15,0677,2.51333333333
2013-04-16,0677,2.84
2013-04-17,0677,2.49666666667
2013-04-18,0677,2.15333333333
2013-04-19,0677,1.81
2013-04-20,0677,1.46666666667
2013-04-21,0677,1.12333333333
2013-04-22,0677,0.78
2013-04-23,0677,0.796666666667
2013-04-24,0677,0.813333333333
2013-04-25,0677,0.83
2013-04-26,0677,0.846666666667
2013-04-27,0677,0.863333333333
2013-04-28,0677,0.88
2013-04-29,0677,0.95
2013-04-30,0677,1.02
2013-05-01,0677,1.09
2013-05-02,0677,1.16
2013-05-03,0677,1.23
2013-05-04,0677,1.3
2013-05-05,0677,1.25333333333
2013-05-06,0677,1.20666666667
2013-05-07,0677,1.16
2013-05-08,0677,1.11333333333
2013-05-09,0677,1.06666666667
2013-05-10,0677,1.02
2013-05-11,0677,1.03333333333
2013-05-12,0677,1.04666666667
2013-05-13,0677,1.06
2013-05-14,0677,1.07333333333
2013-05-15,0677,1.08666666667
2013-05-16,0677,1.1
2013-05-17,0677,0.993333333333
2013-05-18,0677,0.886666666667
2013-05-19,0677,0.78
2013-05-20,0677,0.673333333333
2013-05-21,0677,0.566666666667
2013-05-22,0677,0.46
2013-05-23,0677,0.55
2013-05-24,0677,0.64
2013-05-25,0677,0.73
2013-05-26,0677,0.82
2013-05-27,0677,0.91
2013-05-28,0677,1.0
2013-05-29,0677,1.0
2013-05-30,0677,1.0
2013-05-31,0677,1.0
2013-06-01,0677,1.0
2013-06-02,0677,1.0
2013-06-03,0677,1.0
2013-06-04,0677,1.00333333333
2013-06-05,0677,1.00666666667
2013-06-06,0677,1.01
2013-06-07,0677,1.01333333333
2013-06-08,0677,1.01666666667
2013-06-09,0677,1.02
2013-06-10,0677,0.966666666667
2013-06-11,0677,0.913333333333
2013-06-12,0677,0.86
2013-06-13,0677,0.806666666667
2013-06-14,0677,0.753333333333
2013-06-15,0677,0.7
2013-06-16,0677,0.663333333333
2013-06-17,0677,0.626666666667
2013-06-18,0677,0.59
2013-06-19,0677,0.553333333333
2013-06-20,0677,0.516666666667
2013-06-21,0677,0.48
2013-06-22,0677,0.546666666667
2013-06-23,0677,0.613333333333
2013-06-24,0677,0.68
2013-06-25,0677,0.746666666667
2013-06-26,0677,0.813333333333
2013-06-27,0677,0.88
2013-06-28,0677,1.21
2013-06-29,0677,1.54
2013-06-30,0677,1.87
2013-07-01,0677,2.2
2013-07-02,0677,2.53
2013-07-03,0677,2.86
2013-07-04,0677,2.76333333333
2013-07-05,0677,2.66666666667
2013-07-06,0677,2.57
2013-07-07,0677,2.47333333333
2013-07-08,0677,2.37666666667
2013-07-09,0677,2.28
2013-07-10,0677,1.98666666667
2013-07-11,0677,1.69333333333
2013-07-12,0677,1.4
2013-07-13,0677,1.10666666667
2013-07-14,0677,0.813333333333
2013-07-15,0677,0.52
2013-07-16,0677,0.616666666667
2013-07-17,0677,0.713333333333
2013-07-18,0677,0.81
2013-07-19,0677,0.906666666667
2013-07-20,0677,1.00333333333
2013-07-21,0677,1.1
2013-07-22,0677,1.19666666667
2013-07-23,0677,1.29333333333
2013-07-24,0677,1.39
2013-07-25,0677,1.48666666667
2013-07-26,0677,1.58333333333
2013-07-27,0677,1.68
2013-07-28,0677,1.7
2013-07-29,0677,1.72
2013-07-30,0677,1.74
2013-07-31,0677,1.76
2013-08-01,0677,1.78
2013-08-02,0677,1.8
2013-08-03,0677,1.74666666667
2013-08-04,0677,1.69333333333
2013-08-05,0677,1.64
2013-08-06,0677,1.58666666667
2013-08-07,0677,1.53333333333
2013-08-08,0677,1.48
2013-08-09,0677,1.32333333333
2013-08-10,0677,1.16666666667
2013-08-11,0677,1.01
