site,data_status,action_code,datetime,parameter,duration,frequency,value,unit,qc,poc,lat,lon,GISDatum,elev,method_code,mpc,mpc_value,uncertainty,qualifiers
840480290059,0,10,20130425T0000-0600,68105,1440,8640,19,017,0,1,29.275381,-98.311692,WGS84,151,145,1,-40,,
840480290032,0,10,20130627T0000-0600,68105,1440,8640,29.7,017,0,1,29.51509,-98.620166,WGS84,280,145,1,-40,,
840480290032,0,10,20130516T0000-0600,68105,1440,8640,26.8,017,0,1,29.51509,-98.620166,WGS84,280,145,1,-40,,
840480290059,0,10,20130618T0000-0600,68105,1440,8640,30.8,017,0,1,29.275381,-98.311692,WGS84,151,145,1,-40,,
840480290059,0,10,20130603T0000-0600,68105,1440,8640,28,017,0,1,29.275381,-98.311692,WGS84,151,145,1,-40,,
840480290032,0,10,20130603T0000-0600,68105,1440,8640,25.7,017,0,1,29.51509,-98.620166,WGS84,280,145,1,-40,,
840480290059,0,10,20130609T0000-0600,68105,1440,8640,28.3,017,0,1,29.275381,-98.311692,WGS84,151,145,1,-40,,
840480290032,0,10,20130609T0000-0600,68105,1440,8640,26.1,017,0,1,29.51509,-98.620166,WGS84,280,145,1,-40,,
840480290059,0,10,20130128T0000-0600,68105,1440,8640,23.9,017,0,1,29.275381,-98.311692,WGS84,151,145,1,-40,,
840480290032,0,10,20130128T0000-0600,68105,1440,8640,21.5,017,0,1,29.51509,-98.620166,WGS84,280,145,1,-40,,
840480290059,0,10,20130410T0000-0600,68105,1440,8640,17.5,017,0,1,29.275381,-98.311692,WGS84,151,145,1,-40,,
840480290032,0,10,20130410T0000-0600,68105,1440,8640,16.2,017,0,1,29.51509,-98.620166,WGS84,280,145,1,-40,,
840480290032,0,10,20130615T0000-0600,68105,1440,8640,27,017,0,1,29.51509,-98.620166,WGS84,280,145,1,-40,,
840480290059,0,10,20130311T0000-0600,68105,1440,8640,14.5,017,0,1,29.275381,-98.311692,WGS84,151,145,1,-40,,
840480290032,0,10,20130311T0000-0600,68105,1440,8640,12.4,017,0,1,29.51509,-98.620166,WGS84,280,145,1,-40,,
840480290059,0,10,20130305T0000-0600,68105,1440,8640,16,017,0,1,29.275381,-98.311692,WGS84,151,145,1,-40,,
840480290032,0,10,20130305T0000-0600,68105,1440,8640,13.7,017,0,1,29.51509,-98.620166,WGS84,280,145,1,-40,,
840480290059,0,10,20130209T0000-0600,68105,1440,8640,18.4,017,0,1,29.275381,-98.311692,WGS84,151,145,1,-40,,
840480290032,0,10,20130209T0000-0600,68105,1440,8640,15.9,017,0,1,29.51509,-98.620166,WGS84,280,145,1,-40,,
840480290059,0,10,20130528T0000-0600,68105,1440,8640,28.3,017,0,1,29.275381,-98.311692,WGS84,151,145,1,-40,,
840480290032,0,10,20130528T0000-0600,68105,1440,8640,26,017,0,1,29.51509,-98.620166,WGS84,280,145,1,-40,,
840480290059,0,10,20130301T0000-0600,68105,1440,8640,13.4,017,0,1,29.275381,-98.311692,WGS84,151,145,1,-40,,
840480290059,0,10,20130221T0000-0600,68105,1440,8640,21.9,017,0,1,29.275381,-98.311692,WGS84,151,145,1,-40,,
840480290032,0,10,20130221T0000-0600,68105,1440,8640,20.1,017,0,1,29.51509,-98.620166,WGS84,280,145,1,-40,,
840480290059,0,10,20130404T0000-0600,68105,1440,8640,15.2,017,0,1,29.275381,-98.311692,WGS84,151,145,1,-40,,
840480290032,0,10,20130404T0000-0600,68105,1440,8640,14.1,017,0,1,29.51509,-98.620166,WGS84,280,145,1,-40,,
840480290032,0,10,20130227T0000-0600,68105,1440,8640,12.1,017,0,1,29.51509,-98.620166,WGS84,280,145,1,-40,,
840480290032,0,10,20130422T0000-0600,68105,1440,8640,21.9,017,0,1,29.51509,-98.620166,WGS84,280,145,1,-40,,
840480290059,0,10,20130323T0000-0600,68105,1440,8640,21,017,0,1,29.275381,-98.311692,WGS84,151,145,1,-40,,
840480290032,0,10,20130323T0000-0600,68105,1440,8640,20.5,017,0,1,29.51509,-98.620166,WGS84,280,145,1,-40,,
840480290059,0,10,20130329T0000-0600,68105,1440,8640,22.3,017,0,1,29.275381,-98.311692,WGS84,151,145,1,-40,,
840480290032,0,10,20130329T0000-0600,68105,1440,8640,20.2,017,0,1,29.51509,-98.620166,WGS84,280,145,1,-40,,
840480290059,0,10,20130215T0000-0600,68105,1440,8640,13.8,017,0,1,29.275381,-98.311692,WGS84,151,145,1,-40,,
